Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Publisher,Date,Device,Direct/Indirect,Type,First Seen,Last Seen,Creative Text,Link to Creative,Creative ID,Spend (USD),Impressions
Bayer HealthCare LLC.,One A Day,One A Day Multi+,"One A Day Multi+ Hair, Skin, & Nails","One A Day Multi+ Hair, Skin, & Nails",Facebook,10/1/23,Facebook,Direct,Video Post,8/8/22,12/29/23,Hair ✅ Skin ✅ Nails ✅ Add this complete multivitamin to your healthy lifestyle and get a boost of support!,https://s3.amazonaws.com/YM_Ads/-4782423737630130142.png,393323934,738.1724,102342
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,10/1/23,Facebook,Direct,Video Post,10/3/21,1/1/24,"Support your immune system now with Nature Made Vitamin D Extra Strength and celebrate the moments ahead later.† †This statement has not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, c ... See more",https://s3.amazonaws.com/YM_Ads/720371096801805.png,459276597,369.0862,51171
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,10/1/23,Facebook,Direct,Video Post,7/6/23,10/1/23,Fuel your self-care routine with the essential nutrients your body needs.,https://s3.amazonaws.com/YM_Ads/662618752577040.png,434017885,738.1724,102342
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,10/1/23,Facebook,Direct,Video Post,10/1/23,1/1/24,Support your immune system now and support your favorite team later with Nature Made Vitamin D Extra Strength. † ... See more,https://s3.amazonaws.com/YM_Ads/720371940135054.png,459300835,369.0862,51171
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,10/1/23,Facebook,Direct,Link Post,10/1/23,1/1/24,Support your immune system now and enjoy moments ahead later with Nature Made Vitamin D Extra Strength.† ... See more,https://s3.amazonaws.com/YM_Ads/720369640135284.png,459279315,369.0862,51171
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,Facebook,10/1/23,Facebook,Direct,Video Post,7/5/23,10/1/23,"Take on the day with a self-care routine full of peace, love & nutrients.",https://s3.amazonaws.com/YM_Ads/662616519243930.png,434594026,1107.2587,153513
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,10/1/23,Facebook,Direct,Video Post,7/6/23,10/1/23,Self care is such an important step of my daily routine! Click the link to shop Nature Made Multi + Omega-3 gummies to take an easy step to support your health daily. #NatureMadeVitamins #StartYourDayWithNatureMade,https://s3.amazonaws.com/YM_Ads/674195448086037.png,438676015,369.0862,51171
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,10/1/23,Facebook,Direct,Link Post,7/5/23,10/1/23,Get essential nutrients you need when you take the multi that takes care of you.,https://s3.amazonaws.com/YM_Ads/662510019254580.png,433723190,1107.2587,153513
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,10/1/23,Facebook,Direct,Video Post,7/5/23,4/1/24,Care for yourself by giving your body the essential nutrients it needs with Nature Made Multi + Omega-3 Gummies.,https://s3.amazonaws.com/YM_Ads/662603805911868.png,433856325,2952.6897,409368
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Facebook,10/1/23,Facebook,Direct,Video Post,7/5/23,10/1/23,"Add Nature Made Multivitamins, from the #1 Pharmacist recommended vitamin and supplement brand, to your routine. *Based on a survey of pharmacists who recommend branded vitamins and supplements.",https://s3.amazonaws.com/YM_Ads/662508319254750.png,434383146,738.1724,102342
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Facebook,10/1/23,Facebook,Direct,Video Post,10/1/23,1/1/24,"Freshen up your morning with vitamins from Nature Made, the #1 Pharmacist recommended vitamin and supplement brand*. ... See more",https://s3.amazonaws.com/YM_Ads/720374806801434.png,459294491,369.0862,51171
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,10/1/23,Instagram,Direct,Video Post,1/5/23,1/1/24,Jump start your day by adding the #1 Pharmacist recommended vitamin and supplement brand to your morning routine.* *Based on a survey of Pharmacists who recommend branded vitamins and supplements.,https://s3.amazonaws.com/YM_Ads/1893167700073152370.png,392720816,248.9138,31396
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,10/1/23,Instagram,Direct,Video Post,10/1/23,1/1/24,"Freshen up your morning with vitamins from Nature Made, the #1 Pharmacist recommended vitamin and supplement brand*. *Based on a survey of pharmacists who recommend branded vitamins and supplements.",https://s3.amazonaws.com/YM_Ads/6863865683148825971.png,461460107,1244.569,156980
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,10/1/23,Instagram,Direct,Video Post,7/6/23,3/31/24,Care for yourself by giving your body the essential nutrients it needs with Nature Made Multi + Omega-3 Gummies.,https://s3.amazonaws.com/YM_Ads/7016084574441240305.png,434099747,248.9138,31396
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,10/1/23,Instagram,Direct,Link Post,10/1/23,1/1/24,Support your immune system now and enjoy moments ahead later with Nature Made Vitamin D Extra Strength.† ... See more,https://s3.amazonaws.com/YM_Ads/-2908431054472158160.png,459886805,1991.3104,251168
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,Instagram,10/1/23,Instagram,Direct,Video Post,7/6/23,10/1/23,"Take on the day with a self-care routine full of peace, love & nutrients.",https://s3.amazonaws.com/YM_Ads/8899486994758183383.png,434099997,2489.1379,313960
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Instagram,10/1/23,Instagram,Direct,Video Post,7/6/23,10/1/23,Get essential nutrients you need when you take the multi that takes care of you.,https://s3.amazonaws.com/YM_Ads/-4379188539380504950.png,434101976,497.8276,62792
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Instagram,10/1/23,Instagram,Direct,Video Post,7/5/23,10/1/23,Fuel your self-care routine with the essential nutrients your body needs.,https://s3.amazonaws.com/YM_Ads/-972639105475201309.png,433899514,248.9138,31396
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Instagram,10/1/23,Instagram,Direct,Photo Post,7/7/23,10/1/23,"Add Nature Made Multivitamins, from the #1 Pharmacist recommended vitamin and supplement brand, to your routine. *Based on a survey of pharmacists who recommend branded vitamins and supplements.",https://s3.amazonaws.com/YM_Ads/-4649174707552041934.png,434301409,497.8276,62792
